name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Boston,2015-06-15,63,54,57.1,63,54,57.1,53,87.2,0.399,100,66.67,rain,0,0,23,15.9,117.5,1019,99.3,5.8,120.4,10.4,4,,2015-06-15T05:06:51,2015-06-15T20:22:40,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2015-06-16,69.9,56,61.4,69.9,56,61.4,59.1,92.2,0.008,100,4.17,rain,0,0,,8,76,1012.1,92.3,5.6,217.8,18.8,7,,2015-06-16T05:06:53,2015-06-16T20:23:03,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2015-06-17,69,61.9,65.1,69,61.9,65.1,50.2,60.4,0,0,0,,0,0,25.3,19.3,28.2,1018.6,54.7,9.9,283.9,24.2,9,,2015-06-17T05:06:56,2015-06-17T20:23:24,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2015-06-18,74,56.7,65,74,56.7,65,49.3,57.8,0,0,0,,0,0,17.2,14.8,184.3,1017.6,71.7,9.9,290.6,25.1,9,,2015-06-18T05:07:02,2015-06-18T20:23:44,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2015-06-19,83,63,69.5,82.5,63,69.4,57.5,66.9,0,0,0,,0,0,24.2,15.8,262,1012.4,80.4,9.9,249.9,21.7,7,,2015-06-19T05:07:09,2015-06-19T20:24:01,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2015-06-20,74,58.6,64.5,74,58.6,64.5,50.6,61.2,0,0,0,,0,0,20.8,14.9,87.4,1019,63.6,9.9,294.2,25.4,8,,2015-06-20T05:07:19,2015-06-20T20:24:16,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2015-06-21,74.9,60.3,66.2,74.9,60.3,66.2,64.5,94.5,1.773,100,75,rain,0,0,23,13.7,106.2,1008,94.2,6.2,123.7,10.7,4,,2015-06-21T05:07:30,2015-06-21T20:24:30,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2015-06-22,75.2,61.2,66.3,75.2,61.2,66.3,62.2,87.5,0,0,0,,0,0,16.1,12.6,77.1,1011.5,68.8,7.4,331.6,28.6,9,,2015-06-22T05:07:43,2015-06-22T20:24:41,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2015-06-23,87.1,60.2,74.1,92.2,60.2,75.7,66.1,77.8,0.011,100,4.17,rain,0,0,33.2,21.6,208.5,1009.7,70.1,9.7,204.3,17.7,6,,2015-06-23T05:07:59,2015-06-23T20:24:51,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2015-06-24,83.9,66.7,75.6,82.2,66.7,75.4,54.6,50.1,0,0,0,,0,0,24.2,16.1,295.9,1012,31.6,9.9,365,31.5,10,,2015-06-24T05:08:16,2015-06-24T20:24:58,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
